Sales,01/01/2019-01/31/2019,02/01/2019-02/28/2019,03/01/2019-03/31/2019,04/01/2019-04/30/2019,05/01/2019-05/31/2019,06/01/2019-06/30/2019,07/01/2019-07/31/2019,08/01/2019-08/31/2019,09/01/2019-09/30/2019,10/01/2019-10/31/2019,11/01/2019-11/30/2019,12/01/2019-12/31/2019
Gross Sales,$0.00,$0.00,"$2,269.73","$1,148.73","$1,537.35","$1,192.98",$0.00,$0.00,$175.40,$0.00,$0.00,$0.00
Returns,$0.00,$0.00,-$5.00,-$178.21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Discounts & Comps,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Net Sales,$0.00,$0.00,"$2,264.73",$970.52,"$1,537.35","$1,192.98",$0.00,$0.00,$175.40,$0.00,$0.00,$0.00
Gift Card Sales,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Tax,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Tip,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Refunds by Amount,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Cash Rounding,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Total,$0.00,$0.00,"$2,264.73",$970.52,"$1,537.35","$1,192.98",$0.00,$0.00,$175.40,$0.00,$0.00,$0.00

Payments
Total Collected,$0.00,$0.00,"$2,264.73",$970.52,"$1,537.35","$1,192.98",$0.00,$0.00,$175.40,$0.00,$0.00,$0.00
Fees,$0.00,$0.00,-$51.48,-$25.30,-$36.36,-$21.39,$0.00,$0.00,-$4.65,$0.00,$0.00,$0.00
Net Total,$0.00,$0.00,"$2,213.25",$945.22,"$1,500.99","$1,171.59",$0.00,$0.00,$170.75,$0.00,$0.00,$0.00
