Sales,01/01/2021-01/31/2021,02/01/2021-02/28/2021,03/01/2021-03/31/2021,04/01/2021-04/30/2021,05/01/2021-05/31/2021,06/01/2021-06/30/2021,07/01/2021-07/31/2021,08/01/2021-08/31/2021,09/01/2021-09/30/2021,10/01/2021-10/31/2021,11/01/2021-11/30/2021,12/01/2021-12/31/2021
Gross Sales,$765.32,$870.94,"$1,375.69",$629.19,"$2,233.73",$974.50,"$1,829.66","$1,346.15","$1,175.02",$806.29,$19.49,$961.46
Returns,$0.00,$0.00,-$41.63,-$101.07,-$301.08,-$28.74,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Discounts & Comps,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Net Sales,$765.32,$870.94,"$1,334.06",$528.12,"$1,932.65",$945.76,"$1,829.66","$1,346.15","$1,175.02",$806.29,$19.49,$961.46
Gift Card Sales,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Tax,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Tip,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Refunds by Amount,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Cash Rounding,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Total,$765.32,$870.94,"$1,334.06",$528.12,"$1,932.65",$945.76,"$1,829.66","$1,346.15","$1,175.02",$806.29,$19.49,$961.46

Payments
Total Collected,$765.32,$870.94,"$1,334.06",$528.12,"$1,932.65",$945.76,"$1,829.66","$1,346.15","$1,175.02",$806.29,$19.49,$961.46
Fees,-$28.51,-$25.66,-$18.79,-$11.32,-$41.85,-$3.08,-$2.40,-$5.33,-$17.48,-$6.09,-$0.10,-$0.20
Net Total,$736.81,$845.28,"$1,315.27",$516.80,"$1,890.80",$942.68,"$1,827.26","$1,340.82","$1,157.54",$800.20,$19.39,$961.26
