Product identifier,Identifier type,Cost USD,Comments
025192186011,UPC,1,26131
786936863710,UPC,1,26132
025192272561,UPC,1,26133
074645885797,UPC,1,26134
043396563346,UPC,1,26135
191329107737,UPC,1,26136
883929199778,UPC,1,26137
883929094981,UPC,1,26138
