Product identifier,Identifier type,Cost USD,Comments
085392425327,UPC,1,24466
024543327226,UPC,1,24657
8717438130699,UPC,1,24686
774212106965,UPC,1,24692
065935206729,UPC,1,24715
065935827139,UPC,1,24725
774212110368,UPC,1,24744
097360317961,UPC,1,24749
743000756155,UPC,1,24755
025195052979,UPC,1,24785
085391199892,UPC,1,24794
025192072949,UPC,1,24816
