"Original Search Term","Is identified","Original Product Cost ($USD)","Shipping From","AID","Product Title","Description","UPCs","EANs","ASIN","Parent ASIN","Recommended","Recommended in Amazon US","Recommended in Amazon CA","Recommended in eBay US","Recommended in Walmart US","MSRP (USD)","Is identified in Amazon US","Identification type Amazon US","Amazon US ASIN","Shipping to US by:","Shipping cost to US","Taxonomy: Amazon US Category Tree","Amazon US Total Sales (USD)","Amazon US Estimated Unit Sales Per Month","Amazon US Sales Estimated On","Amazon US Price (USD)","Amazon US Buy Box Price (USD)","Amazon US Seller Offer : Id","Amazon US Seller Offer : Name","Amazon US Seller Offer : Price","Amazon US Seller Offer : Is Prime Eligible","Amazon US Seller Offer : Is Buy Box Winner","Offered by Amazon US","Amazon US is FBA","Amazon US Listing URL","Amazon US Demand","Amazon US % Profit","Amazon US Local Category Name","Amazon US Local Amazon Rank","Amazon US Local Sub Category Name","Amazon US Local Sub Category Rank","Amazon US Promotions : Frequently Bought Together","Amazon US Offerings","Amazon US % Profit","Amazon US Profit (USD)","Amazon US Market fee (USD)","Amazon US FBA fee (USD)","Amazon US Tax (USD)","Amazon US Insights","Is identified in Amazon CA","Identification type Amazon CA","Amazon CA ASIN","Shipping to CA by:","Shipping cost to CA","Taxonomy: Amazon CA Category Tree","Amazon CA Total Sales (USD)","Amazon CA Estimated Unit Sales Per Month","Amazon CA Price (USD)","Amazon CA Buy Box Price (USD)","Offered by Amazon CA","Amazon CA is FBA","Amazon CA Listing URL","Amazon CA Demand","Amazon CA % Profit","Amazon CA Local Category Name","Amazon CA Local Amazon Rank","Amazon CA Local Sub Category Name","Amazon CA Local Sub Category Rank","Amazon CA Offerings","Amazon CA % Profit","Amazon CA Profit (USD)","Amazon CA Market fee (USD)","Amazon CA FBA fee (USD)","Amazon CA Tax (USD)","Amazon CA Insights","Is identified in eBay US","Identification type eBay US","eBay US eBay Item ID","Shipping to US by:","Shipping cost to US","Taxonomy: eBay US Category Tree","eBay US Total Sales (USD)","eBay US Estimated Unit Sales Per Month","eBay US Price (USD)","eBay US Listing URL","eBay US Demand","eBay US % Profit","eBay US Local Category Name","eBay US Local Amazon Rank","eBay US % Profit","eBay US Profit (USD)","eBay US Market fee (USD)","eBay US PayPal fee (USD)","eBay US Tax (USD)","eBay US Insights","Is identified in Walmart US","Identification type Walmart US","Walmart US Walmart Item ID","Shipping to US by:","Shipping cost to US","Taxonomy: Walmart US Category Tree","Walmart US Total Sales (USD)","Walmart US Estimated Unit Sales Per Month","Walmart US Price (USD)","Walmart US Listing URL","Walmart US Demand","Walmart US % Profit","Walmart US Local Category Name","Walmart US Local Amazon Rank","Walmart US % Profit","Walmart US Profit (USD)","Walmart US Market fee (USD)","Walmart US Tax (USD)","Walmart US Insights","Brand Name","Model","Color","Width (inch)","Height (inch)","Length (inch)","Weight (pound)","Package Width (inch)","Package Height (inch)","Package Length (inch)","Package Weight (pound)","Package Origin","Size","Enhanced Data: Part Number","Enhanced Data: Release Date","Enhanced Data: Actors","Enhanced Data: Aspect Ratio","Enhanced Data: Audience Rating","Enhanced Data: Bluray Region","Enhanced Data: Contributors","Enhanced Data: Directors","Enhanced Data: Edition","Enhanced Data: Esrb Age Rating","Enhanced Data: Formats","Enhanced Data: Genre","Enhanced Data: Hardware Platform","Enhanced Data: Is Adult Product","Enhanced Data: Label","Enhanced Data: Content Languages","Enhanced Data: Number Of Discs","Enhanced Data: Number Of Items","Enhanced Data: Operating Systems","Enhanced Data: Pegi Rating","Enhanced Data: Platforms","Enhanced Data: Publisher","Enhanced Data: Running Time","Enhanced Data: Studio","Enhanced Data: Theatrical Release Date","Image URL"
"888235022482","true","1.0","US","AIDW57D12001","Sleeping With Other People (Blu-ray)","Sleeping With Other People (Blu-ray)","[888235022482]","[0888235022482]","B01711D3PE",,"true","true","false","true",,"50.0","true","ID","B01711D3PE","USPS","3.79",,"745.89","47",,"15.87","15.87","A10GJI9EDBCFZK","FunFactory","11.88","false","true"," Yes but currently out of stock","true","https://www.amazon.com/dp/B01711D3PE","MEDIUM","59.0","Movies & TV","51478",,,"B09XWL2PZY;B01711D3PE","4","59.0","9.30","1.78","3.15","0.00","Listing price includes shipping","true","ID","B01711D3PE","USPS","16.46",,"23.28","4","5.82","5.82"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B01711D3PE","MEDIUM","-225.0","Movies & TV","51478",,,"4","-225.0","-13.06","0.87","2.87","0.55",,"true","keywords","392055460679","USPS","3.79","DVDs & Movies","16.99","1","15.98","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=392055460679","MEDIUM","56.0",,,"56.0","8.99","1.44","0.76","0.00","Listing price includes shipping ; Listing identified using keywords ; Cross channel competition","false",,,,,,,,,,,,,,,,,,,"VVS Films",,,,,,,"5.35","0.63","6.77","0.18","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","PG-13 (Parents Strongly Cautioned)","region_a","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","[""NTSC""]","Data could not be retrieved","Data could not be retrieved","false","Data could not be retrieved","[{""languageName"":""english"",""type"":""Subtitled""},{""languageName"":""french"",""type"":""Subtitled""},{""languageName"":""english"",""type"":""Original Language""},{""languageName"":""french"",""type"":""Original Language""}]","1","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","{""value"":101.0,""unitType"":""minutes""}","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/51BcWMNb4rL._SL75_.jpg"
"047875881099","true","1.0","US","AIDXZ2991001","Call of Duty: WWII - PlayStation 4",,"[00047875881099;047875881099]","[0047875881099]","B0722H6PPG",,"true","true","true","true",,"0.0","true","ID","B0722H6PPG","USPS","3.79","Video Games > PlayStation 4 > Games","45.6","12","2024-05-27","32.38","40.90","AAJOZRNOZX6YC","NEWBORN-VHR-U","40.90","true","true"," Yes but currently out of stock","true","https://www.amazon.com/dp/B0722H6PPG","MEDIUM","70.0","Video Games","34406","PlayStation 4 Games","1655","B08GR4GNRK;B0722H6PPG;B09D643D8F","6","70.0","22.73","4.86","3.06","0.00","Cross channel competition","true","ID","B0722H6PPG","USPS","16.46","Video Games > PlayStation 4 > Games","290.25","9","32.25","32.99"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B0722H6PPG","MEDIUM","25.0","Video Games","34406","PlayStation 4 Games","1655","6","25.0","8.02","3.74","3.27","3.04","Listing price includes shipping","true","keywords","145702329339","USPS","3.79","Video Games & Consoles","364.2","14","24.87","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=145702329339","MEDIUM","71.0",,,"71.0","17.57","1.49","1.02","0.00","Listing price includes shipping ; Listing identified using keywords","false",,,,,,,,,,,,,,,,,,,"Activision","88109",,,,,"0.09","5.28","0.55","6.69","0.09","OFFICIAL",,"88109","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Mature","Data could not be retrieved","First Person Shooter","Sony PlayStation 4","Data could not be retrieved","Activision Inc.","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","ages_18_and_over","[""PlayStation 4""]","Activision Inc.","Data could not be retrieved","Activision Inc.","Data could not be retrieved","https://m.media-amazon.com/images/I/61k0r4v4HSL._SL75_.jpg"
"014633366679","true","1.0","US","AIDXY9LD6001","NHL 13 PS3 New",,"[014633366679]","[0014633366679]","B007H2V7II",,"true","false","true","false",,"59.98","true","ID","B007H2V7II","USPS","3.79",,,,,"59.98","59.98","A1AIVRBZSN2D48","RapidPrimePros","59.98","false","true"," Yes but currently out of stock","true","https://www.amazon.com/dp/B007H2V7II","UNAVAILABLE","77.0",,,,,,"3","77.0","46.19","9.00","3.15","0.00",,"true","ID","B007H2V7II","USPS","16.46","Video Games > Legacy Systems & Microconsoles > PlayStation 3","164.95","5","32.99","32.99"," Yes but currently out of stock","false","https://www.amazon.ca/dp/B007H2V7II","MEDIUM","23.0","Video games","16828","Games","233","2","23.0","7.48","4.95","3.45","3.11","Listed by a low ranked seller","true","keywords","204356950620","USPS","3.79","Video Games & Consoles","0.0","0","37.99","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=204356950620","UNAVAILABLE","78.0",,,"78.0","29.52","2.28","1.40","0.00","Listing price includes shipping ; Listing identified using keywords","false",,,,,,,,,,,,,,,,,,,,"884095145743",,,,,"0.25","5.3","0.6","6.7","0.25","OFFICIAL",,"GELA-366679","2012-09-11","Data could not be retrieved","Data could not be retrieved","PG (Parental Guidance Suggested)","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Standard","Rating Pending","Data could not be retrieved","hockey_games","Playstation 3","Data could not be retrieved","Electronic Arts","[{""languageName"":""french"",""type"":""Unknown""},{""languageName"":""english"",""type"":""Unknown""}]","Data could not be retrieved","Data could not be retrieved","[""Playstation 3""]","Data could not be retrieved","[""PlayStation 3""]","Electronic Arts","Data could not be retrieved","Electronic Arts","Data could not be retrieved","https://m.media-amazon.com/images/I/51Hfb9P3OsL._SL75_.jpg"
"027616859082","true","1.0","US","AIDCOFBJ1001","Wild Bill [DVD]",,"[027616859082;002761685908]","[9780792849292;0027616859082;0002761685908]","B000056H2G",,"true","true","false","true",,"9.98","true","ID","B000056H2G","USPS","3.79",,"1359.2","80",,"16.99",,"ANTOM2GD64W16","Gamecoma","16.99","true","true"," Yes but currently out of stock","true","https://www.amazon.com/dp/B000056H2G","MEDIUM","57.0","Movies & TV","13808","Movies & TV","13808","B079ZT1TYC;B00PPGZMFM;B000056H2G","11","57.0","9.65","2.55","3.15","0.00","Cross channel competition","true","ID","B000056H2G","USPS","16.46",,"83.56","4","20.89",," Yes but currently out of stock","true","https://www.amazon.ca/dp/B000056H2G","MEDIUM","-6.0","Movies & TV","13808","Movies & TV","13808","6","-6.0","-1.29","2.75","3.45","1.97","Listing price includes shipping","true","keywords","256392754938","USPS","3.79","DVDs & Movies","0.0","0","15.99","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=256392754938","MEDIUM","56.0",,,"56.0","9.00","1.44","0.76","0.00","Listing identified using keywords","false",,,,,,,,,,,,,,,,,,,"TCFHE/MGM",,,"4.25","1.12","7.5","0.25","5.1","0.6","7.5","0.25","OFFICIAL",,"27616859082","2002-04-02","[""Jeff Bridges"",""Ellen Barkin"",""John Hurt"",""Diane Lane"",""Keith Carradine"",""David Arquette"",""Christina Applegate"",""Bruce Dern"",""James Gammon"",""Marjoe Gortner""]","1.85:1","R (Restricted)","Data could not be retrieved","[{""name"":""Lloyd Ahern II"",""role"":""Cinematographer""},{""name"":""Gary Daigler"",""role"":""Producer""},{""name"":""Lili Fini Zanuck"",""role"":""Producer""},{""name"":""Richard D. Zanuck"",""role"":""Producer""},{""name"":""Peter Dexter"",""role"":""Writer""},{""name"":""Thomas Babe"",""role"":""Writer""},{""name"":""Walter Hill"",""role"":""Writer""}]","[""Walter Hill""]","Data could not be retrieved","Data could not be retrieved","[""Anamorphic"",""Closed-captioned"",""Color"",""Subtitled"",""Widescreen"",""NTSC""]","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","MGM (Video & DVD)","[{""languageName"":""spanish"",""type"":""Subtitled""},{""languageName"":""french"",""type"":""Subtitled""},{""languageName"":""spanish"",""type"":""Dubbed""},{""languageName"":""english"",""type"":""Original Language""},{""languageName"":""french"",""type"":""Original Language""},{""languageName"":""english"",""type"":""Unknown""}]","1","1","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","MGM (Video & DVD)","{""value"":98.0,""unitType"":""minutes""}","MGM (Video & DVD)","1995-12-01","https://m.media-amazon.com/images/I/51J0MED8RAL.jpg"
"074645885797","true","1.0","US","AIDY09I02001","Sesame Street: All-Star Alphabet",,"[074645885797]","[0074645885797;9780738931890]","B0008FXSZ6",,"true","true","true","true","true","12.99","true","ID","B0008FXSZ6","USPS","3.79",,"246.24","19",,"12.96","14.89","A28UJI6WF5GIHS","TheZoneShop","14.89","true","true"," Yes but currently out of stock","true","https://www.amazon.com/dp/B0008FXSZ6","MEDIUM","53.0","Movies & TV","18926","Movies & TV","18926","B0001OGUQS;B0008FXSZ6;B01E840P5I","6","53.0","6.82","1.35","2.38","0.00","Listing price includes shipping ; Cross channel competition","true","ID","B0008FXSZ6","USPS","16.46",,"95.79","3","31.93",," Yes but currently out of stock","false","https://www.amazon.ca/dp/B0008FXSZ6","MEDIUM","21.0","Movies & TV","18926","Movies & TV","18926","5","21.0","6.67","4.79","3.27","3.01","Listed by a low ranked seller","true","keywords","325346931038","USPS","3.79","DVDs & Movies","0.0","0","6.98","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=325346931038","MEDIUM","15.0",,,"15.0","1.06","0.63","0.50","0.00","Listing price includes shipping ; Listing identified using keywords","true","ID","14245689","USPS","3.79","Movies & TV Shows > Shop Movies by Format","0.0","0","13.52","https://www.walmart.com/ip/14245689","MEDIUM","50.0",,,"50.0","6.70","2.03","0.00","Cross channel competition","Warner Home Video","MFR074645885797#VG",,"7.5","5.4","0.7","0.17","5.47","0.55","7.56","0.19","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/81GH0r4yWNL.jpg"
"008888343479","true","1.0","US","AIDYB7A91001","Tom Clancy's Ghost Recon Advnc Warfighter 2 / Game","Tom Clancy's Ghost Recon Advnc Warfighter 2 / Game","[008888343479]","[0008888343479]","B000M4KJ32",,"true",,"true","false","false",,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","ID","B000M4KJ32","USPS","16.46","Video Games > Legacy Systems > PlayStation Systems > PlayStation 3 > Games","1142.96","26","43.96",," Yes but currently out of stock","true","https://www.amazon.ca/dp/B000M4KJ32","HIGH","37.0","Video games","3385","Games","21","3","37.0","16.31","6.04","3.27","4.14","Listing price includes shipping ; Displaying lowest price from a high-ranked seller","true","keywords","196303852706","USPS","3.79","Video Games & Consoles","7.18","0","7.61","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=196303852706","UNAVAILABLE","24.0",,,"24.0","1.84","0.46","0.52","0.00","Listing price includes shipping ; Listing identified using keywords","true","ID","5516040","USPS","3.79","Video Games > Video Game Titles","0.0","0","19.95","https://www.walmart.com/ip/5516040","UNAVAILABLE","61.0",,,"61.0","12.17","2.99","0.00",,"Ubisoft","008888343479",,"5.75","0.53","7.75","0.20","5.3","0.6","6.6","0.20","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/515jaYbktAL.jpg"
"887256015954","true","1.0","US","AIDBWHT81001","Far Cry: Primal - Playstation 4","Far Cry: Primal - Playstation 4","[887256015954]","[0887256015954]","B016BT105M",,"false","false","false","false","false","0.0","true","ID","B016BT105M","USPS","3.79","Video Games > PlayStation 4 > Games","0.0","0",,"19.96",,"A1K2YWZ25UMBAG","Xcess Limited","12.00","false","false"," Yes but currently out of stock","false","https://www.amazon.com/dp/B016BT105M","LOW","61.0","Video Games","108965","Games","4447",,"1","61.0","12.18","2.99","3.15","0.00",,"true","ID","B016BT105M","USPS","16.46","Video Games > PlayStation 4 > Games","197.82","9","21.98",," Yes but currently out of stock","true","https://www.amazon.ca/dp/B016BT105M","LOW","-4.0","Video Games","108965","Games","4447","5","-4.0","-0.85","3.30","3.27","2.07","Displaying lowest price from a high-ranked seller","true","keywords","404792281323","USPS","3.79","DVDs & Movies","231.78","11","20.48","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=404792281323","LOW","63.0",,,"63.0","12.96","1.84","0.89","0.00","Listing price includes shipping ; Listing identified using keywords","true","ID","163719880","USPS","3.79","Video Games > Video Game Titles","0.0","0","18.99","https://www.walmart.com/ip/163719880","LOW","60.0",,,"60.0","11.35","2.85","0.00",,"PlayStation","UBP30502005",,"5.51","0.79","6.69","0.18","5.35","0.63","6.85","0.18","OFFICIAL",,"UBP30502005","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/81euWWLlnbL.jpg"
"710425372339","true","1.0","US","AIDDH5I91001","Grand Theft Auto IV - PlayStation 3",,"[710425370113;710425372339]","[0710425370113;0710425372339;5026555400329;5026555402934;8904130814921]","B000HKP88C","B001D8Q5MA","true","true","true","true","true","14.99","true","ID","B000HKP88C","USPS","4.21","Video Games > Legacy Systems > PlayStation Systems > PlayStation 3 > Games","2398.8","60",,"39.98",,"A1EFRB7DGEJ6TE","Media Supplies Outlet","40.55","true","true"," Yes but currently out of stock","true","https://www.amazon.com/dp/B000HKP88C","MEDIUM","72.0","Video Games","18339","PlayStation 3 Games","166","B016YU8X6M;B0036FDHT2;B000HKP88C","7","72.0","28.77","6.00","3.33","0.00","Cross channel competition","true","ID","B000HKP88C","USPS","16.46","Video Games > Legacy Systems > PlayStation Systems > PlayStation 3 > Games","1611.96","38","42.42",," Yes but currently out of stock","true","https://www.amazon.ca/dp/B000HKP88C","MEDIUM","34.0","Video Games","18339","PlayStation 3 Games","166","7","34.0","14.60","6.37","3.45","4.00",,"true","keywords","186457746555","USPS","4.21","Video Games & Consoles","0.0","0","29.95","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=186457746555","MEDIUM","73.0",,,"73.0","21.77","1.80","1.17","0.00","Listing identified using keywords ; Cross channel competition","true","ID","138028544","USPS","4.21","Video Games > Video Game Titles","0.0","0","13.49","https://www.walmart.com/ip/138028544","MEDIUM","46.0",,,"46.0","6.26","2.02","0.00",,"Rockstar Games","710425370113",,"5.36","6.47","0.56","0.34","5.35","0.67","6.69","0.40","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/81rSkcE4IYL.jpg"
"025192252198","false","1.0","US","Could not identify the product from a valid resource",,,,,,,"false",,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"888235025124","true","1.0","US","AIDC49QJ1001","Precious Cargo","Precious Cargo","[888235025124]","[0888235025124]","B01EV9HZ2G",,"false","false","false","false","false","32.99","true","ID","B01EV9HZ2G","USPS","3.79",,"0.0","0",,"9.24","9.24","ABLI0FL268ZL4","Outlet Promotions","9.24","true","true"," Yes but currently out of stock","true","https://www.amazon.com/dp/B01EV9HZ2G","LOW","33.0","Movies & TV","204058","Movies & TV","204058","B017RR6EPI;B07473FZXC;B01EV9HZ2G","5","33.0","3.06","1.39","2.38","0.00",,"true","ID","B01EV9HZ2G","USPS","16.46","Movies & TV > Movies",,,"13.19",," Yes but currently out of stock","true","https://www.amazon.ca/dp/B01EV9HZ2G","LOW","-53.0","Movies & TV",,"Movies",,"7","-53.0","-6.95","1.43","3.27","1.24","Listing price includes shipping","true","keywords","304958584345","USPS","3.79","DVDs & Movies","0.0","0","10.99","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=304958584345","LOW","42.0",,,"42.0","4.59","0.99","0.62","0.00","Listing identified using keywords","true","ID","54652491","USPS","3.79","Movies & TV Shows > Shop Movies by Format","0.0","0","18.32","https://www.walmart.com/ip/54652491","LOW","59.0",,,"59.0","10.78","2.75","0.00",,"VVS Films",,,"7.5","5.31","0.56","0.14","5.35","0.51","7.44","0.18","OFFICIAL",,"5070179","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/61MHW6FQ84L.jpg"
"883929094981","true","1.0","US","AID5MD7A1001","Terminator: Salvation","<B>Terminator Salvation (2009) </B><BR>Although Judgment Day has in fact occurred, the future for which John Connor (Christian Bale) was prepared has been partly altered by the appearance of a stranger named Marcus Wright (Sam Worthington). Connor must determine if Wright has been rescued from the past, or sent from the future. As the machines prepare for a final battle, Connor and Wright delve deep into Skynet's heart, uncovering a secret that could lead to the annihilation of mankind.","[883929094981]","[0883929094981]","B002Q4GIJ0",,"true","true","false","false","true","0.0","true","ID","B002Q4GIJ0","USPS","3.79",,"0.0","0",,"7.74",,"A1AIVRBZSN2D48","RapidPrimePros","7.74","true","true"," Yes but currently out of stock","true","https://www.amazon.com/dp/B002Q4GIJ0","MEDIUM","23.0","Dvd","25822",,,"B002Q4GIJ0;B01013I9DU;B07YTD2PM2","6","23.0","1.79","1.16","2.38","0.00","Cross channel competition","true","ID","B002Q4GIJ0","USPS","16.46",,"23.36","4","5.84","5.86"," Yes but currently out of stock","true","https://www.amazon.ca/dp/B002Q4GIJ0","MEDIUM","-217.0","Dvd","25822",,,"14","-217.0","-12.66","0.49","2.87","0.55","Listing price includes shipping","true","keywords","285152876081","USPS","3.79","DVDs & Movies","24.41","5","4.87","https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=285152876081","MEDIUM","-16.0","Dvd","25822","-16.0","-0.80","0.44","0.44","0.00","Listing price includes shipping ; Listing identified using keywords","true","ID","197975732","USPS","3.79","Movies & TV Shows > Shop Movies by Format","0.0","0","13.26","https://www.walmart.com/ip/197975732","MEDIUM","49.0","Dvd","25822","49.0","6.48","1.99","0.00","Cross channel competition",,,,,,,"0.18","5.42","0.58","7.1","0.18","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://m.media-amazon.com/images/I/51Xd-9fHWfL._SL75_.jpg"
